description
Carnaval
Unknown
Fundacion de Santo Domingo
Fundacion de Riobamba
Fundacion de Esmeraldas
Fundacion de Guayaquil-1
Fundacion de Machala
Dia del Trabajo
Cantonizacion de Riobamba
Cantonizacion de El Carmen
Fundacion de Guayaquil
Viernes Santo
Batalla de Pichincha
Cantonizacion de Libertad
Traslado Primer dia del ano
Fundacion de Cuenca
Fundacion de Manta
Primer Grito de Independencia
Primer dia del ano
Provincializacion de Imbabura
Cantonizacion del Puyo
Traslado Primer Grito de Independencia
Dia de la Madre-1
Provincializacion de Cotopaxi
Cantonizacion de Latacunga
Dia de la Madre
Traslado Batalla de Pichincha
Cantonizacion de Cayambe
Cantonizacion de Guaranda
